military_term,civilian_equivalent,context,category,example_military,example_civilian
S-1,HR / Personnel Office,Unit staff section handling personnel actions and administrative processing.,administration,Worked with S-1 to process awards and PCS paperwork.,Partnered with HR to process personnel actions and documentation.
S-2,Intelligence Office,Unit staff section responsible for threat analysis and intelligence reporting.,intelligence,Coordinated with S-2 for daily threat briefs.,Coordinated with intelligence staff for daily threat updates and briefings.
S-3,Operations Office,"Unit staff section responsible for operations planning, scheduling, and execution tracking.",operations,Submitted training plan updates to S-3.,Provided operations team updates to support scheduling and execution tracking.
S-4,Logistics Office,"Unit staff section responsible for supply, transportation, and sustainment planning.",logistics,Worked with S-4 to requisition parts.,Coordinated with logistics to requisition parts and track fulfillment.
S-6,IT / Communications Office,"Unit staff section responsible for communications, networks, and user support.",cyber,Coordinated with S-6 to troubleshoot network outages.,Worked with IT to troubleshoot outages and restore service.
BDE S1,Brigade HR Office,Brigade-level HR section handling personnel actions and policy execution.,administration,Sent the packet to BDE S1 for processing.,Submitted the packet to the brigade HR office for processing.
BDE S4,Brigade Logistics Office,Brigade-level logistics section coordinating sustainment and supply chain support.,logistics,BDE S4 pushed the distribution plan.,Brigade logistics issued the distribution plan for execution.
COMSEC custodian,Communications Security Custodian,Role responsible for safeguarding encryption/keying material and compliance documentation.,cyber,Served as COMSEC custodian for the battalion.,Managed communications security materials and compliance for the organization.
IAO,Cybersecurity Compliance Lead,"Role responsible for information assurance controls, documentation, and audits.",cyber,Acted as the unit IAO during inspections.,Led cybersecurity compliance documentation and audit readiness for inspections.
G-6,Enterprise IT Directorate,Senior-level communications/IT directorate overseeing enterprise services.,cyber,Coordinated with G-6 for network approvals.,Coordinated with enterprise IT leadership for network approvals and governance.
J-6,Joint IT Directorate,Joint-level communications/IT directorate coordinating interoperability and enterprise services.,cyber,Reported status to J-6 during the exercise.,Provided status updates to joint IT leadership during the exercise.
