branch,military_code,military_title,civilian_titles,onet_codes,industries,key_skills,description
Coast Guard,OS,Operations Specialist,"[""Operations Specialist"",""Command Center Operator"",""Maritime Operations Coordinator""]",,"[""Public Safety"",""Maritime"",""Government""]","[""Operations Management"",""Incident Response"",""Situational Awareness"",""Communications"",""Reporting""]","Monitors maritime operations, coordinates communications, tracks incidents, and supports operational decision-making in a command center environment."
Coast Guard,IT,Information Systems Technician,"[""IT Support Specialist"",""Systems Administrator"",""Network Support Technician""]",,"[""Information Technology"",""Government"",""Maritime""]","[""IT Support"",""Systems Administration"",""Networking"",""Cybersecurity Basics"",""Troubleshooting""]","Provides enterprise IT support, administers accounts and systems, troubleshoots outages, and maintains secure and reliable services for users."
Coast Guard,MK,Machinery Technician,"[""Maintenance Technician"",""Industrial Mechanic"",""Mechanical Technician""]",,"[""Manufacturing"",""Maritime"",""Facilities""]","[""Preventive Maintenance"",""Troubleshooting"",""Mechanical Systems"",""Safety Compliance"",""Repairs""]","Maintains and repairs propulsion and auxiliary machinery, executing preventive and corrective maintenance to maximize equipment availability and safety."
Coast Guard,EM,Electrician's Mate,"[""Electrical Technician"",""Industrial Electrician"",""Electrical Maintenance Technician""]",,"[""Utilities"",""Manufacturing"",""Maritime""]","[""Electrical Systems"",""Preventive Maintenance"",""Troubleshooting"",""Safety Compliance"",""Repairs""]","Installs, maintains, and repairs electrical systems; diagnoses faults and restores service to support safe and reliable operations."
Coast Guard,HS,Health Services Technician,"[""Medical Assistant"",""Clinical Support Specialist"",""Healthcare Technician""]",,"[""Healthcare"",""Public Health"",""Government""]","[""Patient Care"",""Medical Administration"",""Triage"",""HIPAA/Privacy"",""Recordkeeping""]","Provides clinical support, patient care assistance, and medical administration to maintain health readiness and quality-of-care standards."
Coast Guard,SK,Storekeeper,"[""Supply Specialist"",""Procurement Specialist"",""Inventory Control Specialist""]",,"[""Logistics"",""Government"",""Maritime""]","[""Inventory Management"",""Procurement"",""Logistics"",""Accountability"",""Vendor Coordination""]","Manages procurement and inventory, processes requisitions, tracks assets, and ensures timely distribution of supplies to support operations."
Coast Guard,BM,Boatswain's Mate,"[""Operations Supervisor"",""Maritime Deck Supervisor"",""Field Operations Lead""]",,"[""Maritime"",""Public Safety"",""Government""]","[""Team Leadership"",""Operations"",""Safety"",""Training"",""Seamanship""]","Leads deck operations and maritime missions; supervises small teams, enforces safety standards, and supports mission execution on cutters and small boats."
Coast Guard,ME,Maritime Enforcement Specialist,"[""Security Specialist"",""Law Enforcement Officer"",""Protective Services Specialist""]",,"[""Public Safety"",""Security"",""Government""]","[""Security Operations"",""Law Enforcement"",""Incident Response"",""Risk Assessment"",""Compliance""]","Conducts maritime law enforcement and security operations, performs boardings/inspections, and supports incident response and risk mitigation."
Army,35A,Military Intelligence Officer,"[""Intelligence Analyst"",""Threat Analyst"",""Operations Analyst""]",,"[""Government"",""Defense"",""Intelligence""]","[""Intelligence Analysis"",""Briefing"",""Risk Assessment"",""Planning"",""Stakeholder Communication""]",Leads intelligence analysis and reporting; produces actionable assessments and briefings that inform operational and strategic decisions.
Army,35D,All-Source Intelligence Officer,"[""All-Source Intelligence Analyst"",""Threat Analyst"",""Strategic Analyst""]",,"[""Government"",""Defense"",""Intelligence""]","[""All-Source Analysis"",""Briefing"",""Risk Assessment"",""Reporting"",""Planning""]","Integrates multi-source intelligence to produce assessments, briefings, and recommendations for senior decision-makers."
Army,35E,Counterintelligence Officer,"[""Counterintelligence Analyst"",""Risk Analyst"",""Security Program Manager""]",,"[""Government"",""Defense"",""Intelligence""]","[""Threat Assessment"",""Investigations Support"",""Risk Management"",""Compliance"",""Reporting""]",Manages counterintelligence programs and risk assessments to reduce organizational exposure and improve security posture.
Army,35B,Intelligence Analyst (legacy),"[""Intelligence Analyst"",""Data Analyst"",""Operations Analyst""]",,"[""Government"",""Defense"",""Intelligence""]","[""Analysis"",""Reporting"",""Briefing"",""Research"",""Critical Thinking""]","Analyzes information from multiple sources to identify trends, risks, and actionable insights for leadership (legacy MOS code)."
Army,35C,Imagery Analyst (legacy),"[""Imagery Analyst"",""Geospatial Analyst"",""Intelligence Analyst""]",,"[""Government"",""Defense"",""Intelligence""]","[""Imagery Analysis"",""Geospatial Analysis"",""Reporting"",""Briefing"",""Attention to Detail""]",Interprets imagery and visual data to produce intelligence products that support planning and decision-making (legacy MOS code).
Army,35K,Signals Intelligence Analyst (legacy),"[""Signals Intelligence Analyst"",""Cyber Intelligence Analyst"",""Threat Analyst""]",,"[""Government"",""Defense"",""Intelligence""]","[""Signals Analysis"",""Threat Detection"",""Reporting"",""Analysis"",""Briefing""]",Analyzes communications-derived data to identify indicators and provide actionable intelligence to stakeholders (legacy MOS code).
Army,35Q,Cryptologic Network Warfare Specialist (legacy),"[""Cybersecurity Analyst"",""SOC Analyst"",""Network Security Analyst""]",,"[""Government"",""Defense"",""Intelligence""]","[""Cybersecurity"",""Threat Detection"",""Network Security"",""Incident Response"",""Risk Management""]","Performs defensive cyber operations, monitoring security events and supporting remediation to reduce risk (legacy MOS code)."
